VendorID,PULocationID,DOLocationID,fareamount,total_amount
2,74,236,null,22.55
2,74,75,null,11.8
2,74,247,null,12.2
2,75,238,null,17.94
2,247,51,null,43.7
2,75,107,null,32.65
2,244,164,null,48.18
2,166,116,null,16.32
2,74,43,null,13.8
2,75,7,null,36.95
1,145,145,null,3.5
1,41,142,null,27.15
2,95,196,null,10.1
2,41,237,null,30.45
2,130,130,null,5.2
2,130,205,null,17.8
2,166,161,null,38.55
2,97,227,null,36.79
2,243,116,null,14.3
2,75,74,null,13.8
2,41,230,null,25.45
1,40,33,null,10.1
1,74,75,null,10.1
1,74,263,null,15.65
2,75,166,null,12.9
2,33,195,null,17
2,166,166,null,8.76
2,74,166,null,14.64
2,166,246,null,30.88
2,75,75,null,11.28
1,242,247,null,21.7
2,43,141,null,24.81
2,43,141,null,17.05
1,74,166,null,15.45
1,166,43,null,13.6
2,41,163,null,30.54
2,74,166,null,14.3
2,41,152,null,10.8
1,74,75,null,14.6
1,74,166,null,11.5
2,97,49,null,11.28
2,41,193,null,44.65
1,241,220,null,16.7
2,42,42,null,8.7
2,41,166,null,12.12
2,134,16,null,32.5
2,166,239,null,18.78
2,166,151,null,8
2,75,74,null,10.1
2,74,239,null,33.06
2,42,74,null,10.1
2,74,237,null,21.25
2,74,74,null,4.5
2,74,43,null,12.96
2,75,236,null,10.05
2,74,116,null,18.75
2,95,95,null,10.1
2,43,107,null,40.25
2,74,236,null,19.62
2,74,132,null,78.05
2,180,85,null,87.1
2,75,74,null,8
2,74,236,null,19.62
2,74,244,null,32.75
2,244,230,null,45.66
1,152,166,null,8.2
1,166,239,null,20.45
1,65,177,null,25
2,260,129,null,17.16
2,74,141,null,28.86
2,152,164,null,50.7
2,7,193,null,10
2,166,152,null,12.9
2,166,68,null,41.46
2,41,41,null,10
2,75,236,null,15.42
2,75,74,null,8
2,74,42,null,11.28
2,65,188,null,22
2,166,246,null,36.42
1,75,75,null,9.45
2,52,246,null,48.48
2,75,42,null,14.2
2,166,42,null,14.3
2,42,41,null,12.62
1,75,233,null,32.45
2,74,237,null,25.81
2,97,61,null,18.1
1,52,40,null,9.6
